,Date,Type,Turnstile,Success,Duration (s)
1,24/02/2020 00:00:34,exit,C,true,5.28
2,24/02/2020 00:00:35,exit,C,true,4.21
3,24/02/2020 00:00:36,exit,N,true,7.43
4,24/02/2020 00:00:37,entry,S,true,6.76
5,24/02/2020 00:00:38,exit,N,true,6.15
6,24/02/2020 00:00:39,exit,C,true,4.39
7,24/02/2020 00:00:40,exit,S,true,7.25
8,24/02/2020 00:00:41,entry,S,true,7.77
9,24/02/2020 00:00:42,entry,S,true,4.03
10,24/02/2020 00:00:43,entry,C,true,6.33
11,24/02/2020 00:00:44,exit,S,true,4.22
12,24/02/2020 00:00:45,exit,N,true,7.7
13,24/02/2020 00:00:46,entry,S,true,8.32
14,24/02/2020 00:00:47,exit,C,true,7.86
15,24/02/2020 00:00:48,entry,S,true,3.99
16,24/02/2020 00:00:49,entry,C,true,7.97
17,24/02/2020 00:00:50,entry,C,true,3.9
18,24/02/2020 00:00:51,entry,S,true,5.35
19,24/02/2020 00:00:52,entry,C,true,6.4
20,24/02/2020 00:00:53,entry,C,true,6.84
21,24/02/2020 00:00:54,entry,C,true,8.48
22,24/02/2020 00:00:55,entry,S,true,6.24
23,24/02/2020 00:00:56,entry,C,true,4.66
24,24/02/2020 00:00:57,entry,C,true,5.83
25,24/02/2020 00:00:58,entry,C,true,6.67
26,24/02/2020 00:00:59,entry,C,true,4.58
27,24/02/2020 00:00:60,entry,S,true,4.93
28,24/02/2020 00:00:61,entry,C,true,8.53
29,24/02/2020 00:00:62,entry,S,true,3.58
30,24/02/2020 00:00:63,entry,C,true,7.42
31,24/02/2020 00:00:64,entry,C,true,7.99
32,24/02/2020 00:00:65,entry,C,true,4.41
33,24/02/2020 00:00:66,entry,S,true,4.77
34,24/02/2020 00:00:67,entry,C,true,5.3
35,24/02/2020 00:00:68,entry,N,true,5.03
36,24/02/2020 00:00:69,entry,C,true,8.3
37,24/02/2020 00:00:70,entry,C,true,5.74
38,24/02/2020 00:00:71,entry,C,true,4.74
39,24/02/2020 00:00:72,entry,C,true,4.51
40,24/02/2020 00:00:73,entry,C,true,7.94
41,24/02/2020 00:00:74,entry,C,true,7.74
42,24/02/2020 00:00:75,entry,N,true,6.23
43,24/02/2020 00:00:76,entry,N,true,4.25
44,24/02/2020 00:00:77,entry,N,true,6.25
45,24/02/2020 00:00:78,entry,S,true,3.73
46,24/02/2020 00:00:79,entry,S,false,6.44
47,24/02/2020 00:00:80,entry,S,true,6.77
