:==============================================================================:
| This file contains a transactional data dump of students entering and leaving|
| at the University Road drop-off gate. That is, the entrance closest to the   |
| Engineering buildings. There are three turnstiles. The first is North,       |
| denoted with 'N', and is closest to the Mineral Sciences Building. The second|
| is in the centre, denoted with 'C', and closest to the Mining Engineering    |
| Study Centre. The third is South, denoted by 'S', and is closest to the      |
| Engineering 2 Building.                                                      |
|                                                                              |
| The time stamp indicates the date and time as day/month/year HH:MM:SS. There |
| is a variable indicating whether this is an 'entry' into the campus or an    |
| 'exit' leaving the campus. The 'success' variable indicates a 'true' if the  |
| transaction was completed with only one tap of the student card, and 'false' |
| if two or more taps were required.                                           |
|                                                                              |
| The final variable indicates the system's estimate for the entry or exit     |
| transaction duration (in seconds). That is the time from when a student's    |
| card is first tapped until the turnstile is activated and locked again behind|
| the student.                                                                 |
:==============================================================================:
|         Date         |   Type   |   Turnstile  |   Success  |  Duration (s)  |
:----------------------:----------:--------------:------------:----------------|
| 24/02/2020 00:00:34  |    exit  |            C |       true |          5.28  |
| 24/02/2020 00:08:49  |    exit  |            C |       true |          4.21  |
| 24/02/2020 00:21:47  |    exit  |            N |       true |          7.43  |
| 24/02/2020 00:43:43  |   entry  |            S |       true |          6.76  |
| 24/02/2020 00:45:19  |    exit  |            N |       true |          6.15  |
| 24/02/2020 00:53:14  |    exit  |            C |       true |          4.39  |
| 24/02/2020 02:19:03  |    exit  |            S |       true |          7.25  |
| 24/02/2020 04:01:38  |   entry  |            S |       true |          7.77  |
| 24/02/2020 04:53:33  |   entry  |            S |       true |          4.03  |
| 24/02/2020 04:58:31  |   entry  |            C |       true |          6.33  |
| 24/02/2020 05:02:23  |    exit  |            S |       true |          4.22  |
| 24/02/2020 05:02:38  |    exit  |            N |       true |           7.7  |
| 24/02/2020 05:20:59  |   entry  |            S |       true |          8.32  |
| 24/02/2020 05:39:59  |    exit  |            C |       true |          7.86  |
| 24/02/2020 06:10:25  |   entry  |            S |       true |          3.99  |
| 24/02/2020 06:16:01  |   entry  |            C |       true |          7.97  |
| 24/02/2020 06:18:01  |   entry  |            C |       true |           3.9  |
| 24/02/2020 06:21:36  |   entry  |            S |       true |          5.35  |
| 24/02/2020 06:36:10  |   entry  |            C |       true |           6.4  |
| 24/02/2020 06:37:47  |   entry  |            C |       true |          6.84  |
| 24/02/2020 06:44:08  |   entry  |            C |       true |          8.48  |
| 24/02/2020 06:47:13  |   entry  |            S |       true |          6.24  |
| 24/02/2020 06:49:41  |   entry  |            C |       true |          4.66  |
| 24/02/2020 06:50:09  |   entry  |            C |       true |          5.83  |
| 24/02/2020 06:59:26  |   entry  |            C |       true |          6.67  |
| 24/02/2020 07:03:13  |   entry  |            C |       true |          4.58  |
| 24/02/2020 07:05:44  |   entry  |            S |       true |          4.93  |
| 24/02/2020 07:08:37  |   entry  |            C |       true |          8.53  |
| 24/02/2020 07:08:46  |   entry  |            S |       true |          3.58  |
| 24/02/2020 07:09:26  |   entry  |            C |       true |          7.42  |
| 24/02/2020 07:10:04  |   entry  |            C |       true |          7.99  |
| 24/02/2020 07:10:11  |   entry  |            C |       true |          4.41  |
| 24/02/2020 07:11:18  |   entry  |            S |       true |          4.77  |
| 24/02/2020 07:11:21  |   entry  |            C |       true |           5.3  |
| 24/02/2020 07:11:55  |   entry  |            N |       true |          5.03  |
| 24/02/2020 07:13:04  |   entry  |            C |       true |           8.3  |
| 24/02/2020 07:13:44  |   entry  |            C |       true |          5.74  |
| 24/02/2020 07:14:24  |   entry  |            C |       true |          4.74  |
| 24/02/2020 07:15:50  |   entry  |            C |       true |          4.51  |
| 24/02/2020 07:16:50  |   entry  |            C |       true |          7.94  |
| 24/02/2020 07:17:39  |   entry  |            C |       true |          7.74  |
| 24/02/2020 07:19:11  |   entry  |            N |       true |          6.23  |
| 24/02/2020 07:19:13  |   entry  |            N |       true |          4.25  |
| 24/02/2020 07:20:04  |   entry  |            N |       true |          6.25  |
| 24/02/2020 07:20:28  |   entry  |            S |       true |          3.73  |
| 24/02/2020 07:21:17  |   entry  |            S |      false |          6.44  |
| 24/02/2020 07:21:51  |   entry  |            S |       true |          6.77  |
| 24/02/2020 07:22:39  |   entry  |            C |       true |          4.32  |
